news_id;news_date;impacted_country;news_category;news_title;news_summary
18;2024.08.21;South Korea;Natural Disaster;Typhoon brings torrential rain, paralyzing Zipper factory operations in Busan region.;Heavy winds and rain from a powerful typhoon forced the temporary closure of several key manufacturing sites specializing in high-end zippers near Busan, interrupting scheduled output.
19;2024.08.24;United Kingdom;Economic Development;UK threatens retaliatory tariffs against China over Linen market access disputes.;The UK Trade Office announced a formal review into Chinese market practices regarding UK-made luxury linen goods, warning that trade restrictions could be imposed if fair access is not granted.
20;2024.08.27;India;Incidental;Explosion at chemical storage unit affects dye supply for Denim finishing.;An accident at a chemical warehouse that supplies dyes for denim processing resulted in a shortage of essential coloring agents, slowing down the finishing phase for several Indian mills.
21;2024.08.30;Pakistan;Economic Development;Pakistan enforces temporary ban on raw Cotton exports to stabilize domestic textile industry.;Facing concerns about local inventory levels, Pakistan implemented a brief, but strict, prohibition on the export of raw cotton bales, prioritizing supply for domestic spinning mills.
22;2024.09.02;Vietnam;Civil Unrest;Labor union strike at a major Button assembly plant over unfair working hours.;Workers at a large facility producing plastic and metal buttons initiated a strike, demanding revised shift schedules and better working hour compliance, leading to production losses.
23;2024.09.05;Germany;Economic Development;Germany announces new sustainability tariffs on Nylon imports lacking environmental certifications.;New legislation requires all nylon imports to meet stringent, independently verified environmental standards, applying a premium tariff on goods that fail to provide comprehensive certification.
24;2024.09.08;Sri Lanka;Natural Disaster;Unseasonal flooding damages warehouse storing finished Silk fabric inventory.;Heavy unseasonal rains caused flash floods that ruined a significant volume of finished silk textiles held in coastal warehouses awaiting shipment, resulting in major inventory losses.
25;2024.09.11;China;Incidental;Power substation failure causes widespread blackout in Buckle manufacturing zone.;A catastrophic failure at a regional power substation led to a multi-day blackout across an industrial area, halting the electroplating and finishing processes for metal buckles.
26;2024.09.14;Japan;Economic Development;Japan imposes temporary countervailing duties on Polyester yarn from Thailand.;Citing preliminary findings of state subsidies, Japan applied temporary countervailing duties on imported polyester yarn, impacting Japanese fabric manufacturers sourcing inputs from Thailand.
27;2024.09.17;India;Civil Unrest;Local community protests block rail access to a Silk weaving cluster.;Demonstrators protesting infrastructure projects blocked a critical rail line used to transport raw silk cocoons, stalling operations at several high-end weaving centers.
28;2024.09.20;Indonesia;Natural Disaster;Earthquake causes minor damage and temporary evacuation of Linen processing facilities.;A moderate earthquake in Java led to precautionary evacuations and mandatory structural inspections at linen processing mills, resulting in minor production delays.
29;2024.09.23;France;Economic Development;France mandates origin labeling for all imported Cotton, impacting Asian suppliers.;New consumer protection laws require detailed country-of-origin labeling for all raw cotton used in finished garments sold in France, placing an increased compliance burden on international exporters.
30;2024.09.26;Thailand;Incidental;Road bridge collapse disrupts internal supply chain for Zipper components.;The collapse of a structurally compromised road bridge temporarily isolated a region critical for manufacturing specialized zipper teeth and tapes, causing immediate logistical difficulties.
31;2024.09.29;United States;Economic Development;US reduces import tariffs on Linen goods from Sri Lanka following trade agreement.;In a move to diversify supply chains, the US significantly lowered import tariffs on certified linen textiles originating from Sri Lanka.
32;2024.10.02;Vietnam;Economic Development;Vietnam cuts export tax on finished Denim to boost competitiveness against regional rivals.;The government announced a reduction in export taxes on ready-made denim garments, intending to make Vietnamese exports more price-competitive in the global market, especially against Chinese and Bangladeshi products.
33;2024.10.05;India;Civil Unrest;Terrorist attack on transport hub delays shipment of finished Polyester goods.;An isolated incident at a regional transport hub caused a security lockdown, severely disrupting the movement of truckloads carrying finished polyester apparel destined for export ports.
34;2024.10.08;Bangladesh;Natural Disaster;Tropical storm damages critical infrastructure supporting Button production.;A tropical storm caused localized damage to power lines and roads in an area housing numerous button and fastener manufacturers, leading to production halts for safety reasons.
35;2024.10.11;Italy;Economic Development;Italy tightens customs inspection on Nylon imports citing material safety concerns.;Italian authorities initiated heightened safety checks on imported nylon fabrics, specifically testing for restricted chemicals, resulting in longer processing times at customs entry points.
36;2024.10.14;Pakistan;Incidental;Warehouse fire destroys vast inventory of raw Silk thread awaiting export.;A massive fire engulfed a storage facility in Lahore, destroying a large stockpile of high-quality raw silk thread, leading to immediate shortages for international weaving houses.
37;2024.10.17;Sri Lanka;Civil Unrest;Civil disturbance shuts down key industrial park specializing in Zipper and Buckle production.;Protests over local government corruption forced the temporary closure of an industrial park, stopping the manufacturing of textile accessories like zippers and buckles.
38;2024.10.20;South Korea;Natural Disaster;Heavy snowfall closes major highways, delaying Cotton logistics across the peninsula.;Unusually heavy, early-season snow hampered road transport, delaying the movement of raw cotton from ports to spinning mills in South Korea.
39;2024.10.23;China;Economic Development;China restricts Denim fabric exports to favor domestic high-value garment production.;New state guidelines incentivize the use of high-quality denim internally, limiting the volume of raw denim fabric available for sale to international customers.
40;2024.10.26;Japan;Incidental;Industrial accident contaminates water supply, temporarily halting Silk dyeing operations.;A leakage from a nearby facility contaminated the water source for several high-end silk dyeing operations in Japan, forcing an emergency shutdown until water quality was restored.
41;2024.10.29;Germany;Economic Development;German Customs increases scrutiny on Vietnamese Denim imports for misclassification.;Customs officials began implementing more rigorous checks on denim shipments from Vietnam, suspecting some products are being misclassified to avoid correct tariff rates.
42;2024.11.01;Thailand;Civil Unrest;Anti-government protests disrupt shipping schedules at Bangkok port, delaying Polyester exports.;Widespread demonstrations temporarily blocked access to port facilities in Bangkok, causing delays in the loading of containers carrying finished polyester garments.
43;2024.11.04;India;Economic Development;India imposes temporary export duty on Cotton to support local processing mills.;A new short-term export duty was enacted on raw cotton bales, aiming to ensure domestic mills have priority access to materials and stabilize local prices.
44;2024.11.07;Bangladesh;Natural Disaster;Flash floods cause power outages in a major Linen manufacturing area.;Sudden, intense localized flooding disrupted electrical substations, resulting in a blackout that halted linen weaving and finishing processes in a significant industrial zone.
45;2024.11.10;United Kingdom;Economic Development;UK grants tariff-free status to Buckle imports from Indonesia under new trade deal.;A recently ratified trade agreement between the UK and Indonesia includes provisions for zero tariffs on specific metal buckle and fastening hardware.
46;2024.11.13;Vietnam;Incidental;Road accident blocks transport of Zipper components to major assembly plant.;A multi-vehicle crash on a main industrial artery prevented the delivery of essential zipper materials, causing a production bottleneck at a large Vietnamese garment factory.
47;2024.11.16;Pakistan;Civil Unrest;Union dispute leads to work stoppage at facility producing specialized Nylon fabrics.;A protracted disagreement over redundancy packages resulted in a complete work stoppage at a Pakistani plant specializing in high-denier nylon textile production.
48;2024.11.19;Indonesia;Natural Disaster;Volcanic activity leads to ash cloud, disrupting air cargo transport of high-value Silk.;An eruption caused an ash cloud, leading to flight cancellations that affected the time-sensitive air shipment of expensive, finished silk goods destined for European markets.
49;2024.11.22;Japan;Economic Development;Japan imposes new labeling requirements on imported Button hardware.;New consumer safety standards require all imported buttons to carry detailed, standardized labeling regarding material composition, increasing compliance complexity for foreign suppliers.
50;2024.11.25;Sri Lanka;Incidental;Container stacking collapse at main port delays loading of finished Cotton apparel.;An accident in the container yard resulted in the collapse of a stack, blocking access to several containers carrying high volumes of cotton garments scheduled for immediate export.
51;2024.11.28;United States;Economic Development;US applies countervailing duties on Chinese Linen imports citing unfair pricing.;The Commerce Department announced provisional duties on certain Chinese linen goods after finding evidence of market distortion through subsidized pricing.
52;2024.12.01;China;Economic Development;China restricts export of high-grade Polyester chemical precursors to manage domestic shortages.;To ensure sufficient supply for its own massive manufacturing base, China placed temporary quantity restrictions on the export of key raw chemicals used in polyester production.
53;2024.12.04;India;Civil Unrest;Local strikes disrupt access to factories producing specialized Silk textiles.;Community protests regarding utility price hikes led to blockades around high-end silk production facilities, temporarily halting operations and supply deliveries.
54;2024.12.07;Vietnam;Natural Disaster;Typhoon affects coastal ports, delaying export of finished Buckle components.;A severe typhoon struck Vietnam's central coast, forcing port closures and significantly delaying the loading and departure of vessels carrying metal buckle hardware.
55;2024.12.10;Italy;Economic Development;Italy signs agreement simplifying trade procedures for Denim imports from Pakistan.;A new bilateral agreement aims to reduce bureaucratic hurdles and streamline customs checks for Pakistani denim, encouraging faster market entry.
56;2024.12.13;Bangladesh;Incidental;Large factory fire destroys equipment and inventory at a Nylon weaving facility.;A devastating fire ravaged a large factory specializing in nylon weaving, resulting in a near-total loss of machinery and stock, requiring months for reconstruction and disrupting long-term supply.
57;2024.12.16;Thailand;Civil Unrest;Worker unrest over safety conditions leads to stoppage at specialized Zipper plant.;Employees at a factory producing industrial zippers walked off the job, demanding immediate improvements to workplace safety standards, causing an indefinite halt in production.
58;2024.12.19;Indonesia;Natural Disaster;Tidal wave causes minor damage to coastal infrastructure used for Button exports.;An unexpected tidal surge affected low-lying coastal logistics facilities, requiring cleanup and safety checks, briefly delaying the transfer of boxed buttons to shipping vessels.
59;2024.12.22;France;Economic Development;France investigates anti-subsidy claims against Indian Nylon imports.;The French government initiated a probe into whether nylon textile exporters from India benefit from illegal state subsidies, potentially leading to the imposition of tariffs.
60;2024.12.25;Japan;Incidental;Logistics vehicle transporting raw Cotton overturns, blocking a main railway line.;An accident involving a truck carrying bulk raw cotton bales caused a significant blockage on a key transport route, delaying inbound material logistics for regional mills.
61;2024.12.28;United States;Economic Development;US eliminates tariffs on certain Silk products from Thailand to foster diversified sourcing.;The US announced the removal of duties on specific high-end silk garments from Thailand, encouraging American buyers to look beyond traditional suppliers.
62;2025.01.01;Pakistan;Economic Development;Pakistan lifts short-term export ban on raw Cotton following improved yield reports.;The previously imposed prohibition on raw cotton exports was lifted after updated agricultural surveys indicated a stronger than expected harvest, easing market supply constraints.
63;2025.01.04;Sri Lanka;Civil Unrest;Trade union general strike severely disrupts all port and logistics operations.;A national trade union strike paralyzed essential services, including all major ports, bringing the import and export of textiles and accessories to a standstill.
64;2025.01.07;South Korea;Natural Disaster;Wildfire smoke affects visibility, leading to flight delays for air-freighted Button accessories.;Smoke from seasonal wildfires led to air traffic control restrictions, delaying the urgent air shipment of specialized buttons and fasteners.
65;2025.01.10;Germany;Economic Development;Germany implements stricter quality standards for imported Denim, focusing on durability.;New consumer regulations mandate increased testing for tear strength and colorfastness in all imported denim products, raising the benchmark for international suppliers.
66;2025.01.13;China;Incidental;Minor chemical leak at facility supplying Linen chemical treatments.;A controlled leak occurred at a chemical plant supplying specialized treatments for linen finishing, causing a short-term scarcity of key finishing agents.
67;2025.01.16;Vietnam;Civil Unrest;Local fishermen protest environmental practices, block vessel access to port handling Polyester.;A regional environmental protest blocked the entrance to a commercial harbor, delaying cargo ships carrying finished polyester textiles.
68;2025.01.19;India;Natural Disaster;Dust storms cause widespread damage to open storage units holding raw Nylon inputs.;Severe dust storms damaged unprotected open storage areas, contaminating stocks of raw nylon polymer chips and leading to material losses.
69;2025.01.22;Italy;Economic Development;Italy levies anti-subsidy duties on certain Buckle and fastener imports from China.;Following an investigation, Italy imposed definitive anti-subsidy duties on metal buckle hardware originating from China.
70;2025.01.25;Bangladesh;Incidental;Road tunnel closure due to structural checks delays transport of finished Silk garments.;A mandatory safety closure of a key urban transport tunnel caused severe congestion, delaying the transit of finished high-end silk garments to the international airport.
71;2025.01.28;Japan;Economic Development;Japan and Indonesia finalize agreement streamlining Linen imports.;A new bilateral pact simplifies customs procedures and documentation requirements for importing linen textiles from Indonesia.
72;2025.02.01;Thailand;Civil Unrest;Student protests temporarily block industrial roads, disrupting Zipper component delivery.;Youth-led demonstrations created temporary blockages on roads serving industrial zones, preventing the timely delivery of specialized zipper coils and tapes.
73;2025.02.04;Pakistan;Economic Development;Pakistan cuts local taxes on Nylon fiber exports to gain global market share.;The government announced local tax reductions for manufacturers exporting nylon technical textiles, making Pakistani products more competitive internationally.
74;2025.02.07;Sri Lanka;Natural Disaster;Earthquake causes localized logistical delays for Cotton supply chain.;A moderate earthquake near a key industrial center resulted in precautionary rail inspections, slowing the transport of raw and finished cotton goods.
75;2025.02.10;United Kingdom;Economic Development;UK sets new quotas for Silk imports from China following renewed trade discussions.;The UK implemented new, slightly higher quantitative limits on specific categories of Chinese silk fabric imports.
76;2025.02.13;China;Incidental;Minor power grid issue disrupts computerized loom operation for high-end Denim.;A brief fluctuation in the power supply caused temporary synchronization issues in computerized looms used for high-precision denim weaving, requiring recalibration time.
77;2024.07.15;Germany;Economic Development;EU implements CBAM-related tariffs on Chinese Polyester, affecting German buyers.;Following the expansion of the Carbon Border Adjustment Mechanism (CBAM) framework, Germany, acting under EU directive, began applying new environmental tariffs on certain high-emission polyester imports from China, signaling higher procurement costs for fashion brands.
78;2024.07.28;Vietnam;Economic Development;Vietnamese government lifts export subsidies on basic Button components, favoring higher value products.;Hanoi announced the phased removal of tax incentives for exporting low-cost button and fastener components, urging local manufacturers to upgrade production lines and focus on higher-margin, specialized accessories.
79;2024.08.10;Bangladesh;Civil Unrest;Labor unions launch widespread strike across Dhaka's industrial parks, impacting Cotton exports.;A major dispute over cost-of-living adjustments and factory safety standards led to thousands of workers walking off the job, halting nearly 70% of scheduled cotton garment production across the central manufacturing zones.
80;2024.08.25;Indonesia;Natural Disaster;Heavy monsoon rains cause infrastructural damage, disrupting Linen shipments from Jakarta port.;Unusually prolonged and heavy monsoon weather led to severe flooding in port access areas, damaging road networks and significantly delaying the loading and departure of vessels carrying finished linen textiles.
81;2024.09.05;India;Incidental;Critical port system failure causes multi-day delay in unloading imported Zipper raw materials.;A serious mechanical failure involving gantry cranes at a major Indian port led to severe congestion, delaying the timely delivery of vital imported zipper coils and components to inland assembly units.
82;2024.09.20;United States;Economic Development;US Trade Representative initiates review of tariffs on imported Chinese Denim.;The USTR announced the commencement of a mandatory statutory review of tariffs currently applied to specific categories of Chinese denim apparel, creating uncertainty for US retailers regarding future sourcing costs.
83;2024.10.04;China;Economic Development;Provincial government enforces stricter wastewater limits, impacting Silk dyeing facility output.;New environmental regulations were enacted in a major silk-producing province, forcing several high-volume dyeing facilities to temporarily limit operations while installing expensive wastewater treatment technology.
84;2024.10.18;Pakistan;Civil Unrest;Political instability leads to localized transport shutdowns, disrupting Nylon supply chain.;Escalating tensions and protests resulted in temporary closures of major inter-city road networks, preventing the movement of raw nylon precursors and finished synthetic fabrics for several days.
85;2024.11.01;Japan;Natural Disaster;Moderate earthquake rattles Osaka, causing temporary disruption to high-precision Buckle manufacturing.;A moderate seismic event in Western Japan required mandatory safety checks at facilities specializing in precision metal hardware, leading to a brief halt in the production of complex buckle components.
86;2024.11.16;Sri Lanka;Incidental;Major container stacking accident at Colombo port delays shipment of finished Polyester goods.;A logistics failure in the port yard led to a significant container stack collapse, blocking access to several cargo units loaded with finished polyester apparel destined for international markets.
87;2024.11.30;France;Economic Development;France raises sustainability concerns over Indian Cotton imports, threatening new non-tariff barriers.;The French government expressed formal concerns over environmental compliance in India's cotton processing sector, suggesting new, stringent non-tariff barriers could be implemented absent verifiable sustainability commitments.
88;2024.12.14;Thailand;Economic Development;Thailand announces tax rebates for exported high-value Denim garments.;To promote technological upgrade and brand recognition, the Thai government introduced new, generous tax rebates for exporters focusing on high-end, finished denim products with significant value addition.
89;2024.12.28;Vietnam;Civil Unrest;Worker grievances over safety protocols trigger partial strike at a major Button factory.;A dispute regarding mandatory safety training and equipment standards led to a significant percentage of the workforce walking off the job at a large button and fastening component manufacturing facility in the South.
90;2025.01.12;India;Natural Disaster;Unseasonal dense fog and cold snap halt transport of raw Linen materials in Northern India.;Heavy fog severely impacted visibility and mobility across North India, causing multi-day delays in the road and rail transport of harvested flax and processed linen fibers.
91;2025.01.26;South Korea;Incidental;Chemical plant explosion in Ulsan disrupts local supply of Nylon polymer inputs.;A serious incident occurred at a major petrochemical complex, leading to the temporary suspension of key raw material supply lines necessary for the manufacturing of synthetic nylon fibers.
92;2025.02.10;Italy;Economic Development;Italy tightens customs scrutiny on Chinese Zipper imports over alleged intellectual property violations.;Italian customs implemented enhanced inspection protocols for Chinese zipper shipments suspected of infringing upon European design patents, resulting in longer import processing times.
93;2025.02.25;China;Economic Development;State-owned banks restrict lending to high-pollution Cotton processing facilities, slowing export growth.;In line with national green policy, major state banks curtailed financing options for cotton dyeing and finishing facilities deemed environmentally non-compliant, impacting their ability to fulfill international orders.
94;2025.03.10;Bangladesh;Civil Unrest;Short-term strike over factory management issues disrupts Polyester assembly lines.;A localized dispute concerning unfair dismissals led to a brief, but effective, work stoppage at several factories specializing in assembling polyester garments, causing minor delivery delays.
95;2025.03.25;Pakistan;Natural Disaster;Heavy spring rains damage open warehouses storing raw Silk cocoons.;Unusually wet weather caused significant moisture damage to vulnerable storage facilities, leading to the contamination and loss of several tons of raw silk cocoons awaiting processing.
96;2025.04.09;United Kingdom;Economic Development;UK implements new sustainability benchmarks for Vietnamese Buckle hardware imports.;The British government introduced rigorous new environmental benchmarks for metal finishing processes, specifically impacting metal buckle suppliers from Vietnam who must now prove compliance or face import levies.
97;2025.04.24;Indonesia;Incidental;Vessel grounding near key terminal delays export of bulk Denim fabrics.;A commercial cargo ship ran aground near the entrance of a major Indonesian export terminal, causing temporary channel closure and delaying the departure of vessels carrying heavy denim fabric rolls.
98;2025.05.08;India;Economic Development;India raises import tariffs on finished Zipper products to promote domestic manufacturing.;To boost self-reliance in the textile accessory sector, the Indian Ministry of Finance implemented higher import duties on finished zipper products, making domestic zippers more competitive.
99;2025.05.23;Sri Lanka;Civil Unrest;Student-led protests block main coastal highway, disrupting transport of finished Linen goods.;A large public demonstration caused widespread traffic chaos, effectively cutting off the main logistical route used to move finished linen textiles from inland factories to the Colombo port.
100;2025.06.07;Japan;Natural Disaster;Typhoon warning prompts preemptive shutdown of coastal Nylon production facilities.;Ahead of a severe typhoon forecast, several coastal facilities specializing in complex nylon weaving and finishing halted operations for safety, disrupting scheduled high-tech textile output.
101;2024.07.15;China;Sustainability;Hebei Clothing Invests $50M in Solar Power, Achieving 80% Renewable Goal;Hebei Clothing & Accessories Ltd. announced a massive investment in solar infrastructure across its manufacturing sites, aiming to source 80% of its operational power from renewable sources by 2026, marking a significant decarbonization milestone.
102;2024.08.01;China;Sustainability;Hebei Launches Blockchain-Based Digital Passport for All New Denim Lines;The company has implemented a proprietary blockchain system to create Digital Product Passports (DPPs) for its denim products, providing end-to-end traceability from raw cotton field to consumer, enhancing supply chain transparency.
103;2024.08.19;China;Sustainability;Hebei Pilots New Fungus-Derived Next-Generation Fibre in Commercial Apparel Line;Following successful R&D, Hebei is integrating a novel, sustainably grown, fungus-derived fibre into a commercial garment line, showcasing commitment to materials innovation beyond traditional synthetic and natural textiles.
104;2024.09.05;China;Sustainability;Hebei Announces Zero-Water Consumption Milestone in Advanced Dyeing Process;Leveraging cutting-edge supercritical CO2 technology, Hebei Clothing & Accessories achieved zero water usage in its primary garment dyeing facility, significantly reducing its environmental footprint and chemical waste.
105;2024.09.20;China;Sustainability;Hebei Clothing Develops Chemical Recycling Breakthrough for Mixed Polyester-Cotton Blends;Researchers at Hebei have successfully scaled a new depolymerization process capable of chemically recycling previously unrecyclable mixed polyester-cotton textile waste, creating high-quality virgin-equivalent material.
106;2024.10.05;India;Sustainability;Mumbai Textile Mills Secures Green Loan for Complete Biomass Boiler Conversion.;Mumbai Textile Mills (Pvt.) Ltd. finalized a major green finance agreement to convert all industrial boilers from coal to sustainable biomass, targeting a 90% reduction in direct carbon emissions across all spinning operations.
107;2024.10.19;India;Sustainability;Mumbai Textile Mills Partners with Global Tech Firm to Implement Traceability Tags on Premium Silk Exports;The mill is embedding encrypted traceability tags into its premium silk products, allowing international buyers to verify origin, sustainability credentials, and ethical sourcing data via a Digital Product Passport system.
108;2024.11.02;India;Sustainability;Mumbai Textile Mills Announces Scale-Up of Banana Fibre Integration in New Yarn Blends;Capitalizing on local agricultural waste, Mumbai Mills is significantly expanding its use of banana pseudostem fibre, blending it with organic cotton to create new, durable, and naturally biodegradable textile lines.
109;2024.11.16;India;Sustainability;Mumbai Textile Mills Adopts Electro-Chemical Dyeing, Reducing Water Use by 85%.;The mill successfully implemented an electro-chemical dyeing system across its main dyeing vats, achieving an 85% reduction in water consumption and eliminating the use of several auxiliary salts and chemicals.
110;2024.11.30;India;Sustainability;Mumbai Mills Launches Advanced Sorting Facility, Doubling Capacity for Post-Consumer Textile Recycling;A new, highly automated sorting center was unveiled, dedicated to sorting mixed post-consumer textile waste, allowing the mill to double its intake capacity for mechanical recycling of cotton fibers.
111;2024.12.15;Bangladesh;Sustainability;Rajshahi Silk & Dyeing Commits to 100% On-Site Solar Power for All New Facilities by 2026;Rajshahi Silk & Dyeing (PLC) announced a board mandate requiring all new construction and major expansions to be powered exclusively by on-site photovoltaic installations, ensuring rapid decarbonization.
112;2024.12.28;Bangladesh;Sustainability;Rajshahi Implements AI-Powered Traceability for Raw Material Tracking in its Silk Supply Chain;The company deployed an AI-driven system to monitor and verify the origin of raw silk filaments, ensuring strict adherence to fair trade and animal welfare standards throughout its complex supply network.
113;2025.01.12;Bangladesh;Sustainability;Rajshahi Pioneers Upcycled Coconut Husk Fibre Blends for Moisture-Wicking Textiles;Leveraging waste from the coconut industry, Rajshahi has successfully integrated upcycled coconut husk fibers into performance textile blends, offering a naturally derived, highly sustainable material solution.
114;2025.01.25;Bangladesh;Sustainability;Rajshahi Silk & Dyeing Achieves Chemical-Free Pre-Treatment milestone in Production Process;The company successfully migrated its silk pre-treatment processes to an enzyme-based, non-toxic system, completely eliminating harmful chemical compounds and significantly lowering wastewater toxicity.
115;2025.02.08;Bangladesh;Sustainability;Rajshahi PLC Secures Patent for Innovative Fiber Separation Technology for Textile Waste.;A new patented mechanical and thermal separation process allows Rajshahi to extract clean, reusable fibers from complex textile waste streams, setting a new standard for material circularity in the region.
116;2025.02.21;South Korea;Sustainability;Busan Fabric Works Completes Geothermal Energy Integration, Powering Major Dyehouse.;Busan Fabric Works & Exports announced the full integration of geothermal heat pumps, which now provide stable, renewable energy for heating and steaming processes in its primary dyehouse, achieving net-zero thermal energy usage.
117;2025.03.06;South Korea;Sustainability;Busan Fabric Works launches Digital Product Passport for all exported Nylon technical textiles.;The company is providing detailed DPPs, accessible via QR code, for its specialized nylon industrial and performance textiles, offering verifiable data on material composition, compliance, and life cycle assessment.
118;2025.03.19;South Korea;Sustainability;Busan Fabric Works unveils Seaweed-Based Fibre Innovation for High-Performance Apparel.;Busan R&D division introduced a proprietary yarn derived partially from sustainably harvested seaweed, offering superior moisture retention and biodegradation properties for use in performance clothing.
119;2025.04.01;South Korea;Sustainability;Busan Fabric Works achieves breakthrough in cold-pad-batch dyeing, slashing water consumption.;By optimizing the cold-pad-batch dyeing technique for cotton and synthetic blends, Busan has reduced water consumption by 90% compared to conventional hot-water dyeing methods, enhancing sustainability.
120;2025.04.14;South Korea;Sustainability;Busan Fabric Exports Pioneers Chemical Recycling of Nylon Fishing Nets into Apparel Fibres.;The company launched a large-scale initiative to chemically recycle discarded nylon fishing nets, successfully transforming ocean waste into high-quality nylon filaments suitable for premium apparel manufacturing.
121;2024.07.20;Vietnam;Sustainability;Hue Fabric & Thread Co. secures landmark $10M investment for massive wind energy farm.;Hue Fabric & Thread Co. announced a major financing deal to construct an on-site wind farm, intending to cover 100% of its electricity needs through self-generated renewable power by the end of the fiscal year.
122;2024.08.05;Vietnam;Sustainability;Hue Fabric & Thread Co. implements comprehensive Digital Passport solution for all exported Cotton garments.;In anticipation of new EU regulations, Hue Fabric & Thread Co. integrated a robust DPP system, ensuring complete digital records and verifiable environmental data accompany every batch of exported cotton apparel.
123;2024.08.28;Vietnam;Sustainability;Hue Fabric & Thread Co. successfully integrates Pineapple Leaf Fibre into commercial production.;Leveraging local agricultural byproducts, Hue is now manufacturing yarns and fabrics that incorporate sustainable pineapple leaf fiber, reducing waste and creating durable, ethical textile inputs.
124;2024.09.13;Vietnam;Sustainability;Hue Fabric & Thread Co. drastically reduces dye waste through advanced closed-loop filtration system.;By implementing a sophisticated membrane filtration system, Hue Fabric & Thread Co. can recover and reuse over 98% of water and residual dyes in its high-volume polyester dyeing operations.
125;2024.09.28;Vietnam;Sustainability;Hue Fabric & Thread Co. expands mechanical recycling facility to handle up to 5,000 tons of textile waste annually.;The company completed a major expansion of its mechanical recycling division, enabling it to process significantly larger volumes of pre-consumer textile scraps back into usable fibers.
